

inf-power
        type  noise iteration   accuracy   ci_lower   ci_upper    avg acc
20  Proposed     10         2  58.367627  55.665952  61.179041  58.422497
32  Proposed     10         3  58.230453  55.665952  61.179041  58.422497
44  Proposed     10         4  61.454047  55.665952  61.179041  58.422497
56  Proposed     10         5  55.212620  55.665952  61.179041  58.422497
9   Proposed     15         1  51.303155  44.332191  52.759715  48.545953
21  Proposed     15         2  48.285322  44.332191  52.759715  48.545953
33  Proposed     15         3  52.126200  44.332191  52.759715  48.545953
45  Proposed     15         4  43.621399  44.332191  52.759715  48.545953
57  Proposed     15         5  47.393690  44.332191  52.759715  48.545953
10  Proposed     20         1  37.997257  32.193456  38.396394  35.294925
22  Proposed     20         2  32.853224  32.193456  38.396394  35.294925
34  Proposed     20         3  36.899863  32.193456  38.396394  35.294925
46  Proposed     20         4  32.441701  32.193456  38.396394  35.294925
58  Proposed     20         5  36.282579  32.193456  38.396394  35.294925
11  Proposed     25         1  26.268861  25.470259  32.828781  29.149520
23  Proposed     25         2  32.853224  25.470259  32.828781  29.149520
35  Proposed     25         3  28.395062  25.470259  32.828781  29.149520
47  Proposed     25         4  26.611797  25.470259  32.828781  29.149520
59  Proposed     25         5  31.618656  25.470259  32.828781  29.149520

DD_g501
        type  noise iteration    accuracy   ci_lower   ci_upper    avg acc
0   Original      0         1   99.067599  98.658280  99.476918  99.067599
12  Original      0         2   98.601399  98.658280  99.476918  99.067599
24  Original      0         3   99.067599  98.658280  99.476918  99.067599
36  Original      0         4   99.067599  98.658280  99.476918  99.067599
48  Original      0         5   99.533800  98.658280  99.476918  99.067599
1   Original      5         1   19.813520  22.453856  50.926097  36.689977
13  Original      5         2   41.258741  22.453856  50.926097  36.689977
25  Original      5         3   40.559441  22.453856  50.926097  36.689977
37  Original      5         4   50.116550  22.453856  50.926097  36.689977
49  Original      5         5   31.701632  22.453856  50.926097  36.689977
2   Original     10         1    8.857809   4.591692  12.564485   8.578089
14  Original     10         2    6.526807   4.591692  12.564485   8.578089
26  Original     10         3   12.587413   4.591692  12.564485   8.578089
38  Original     10         4   10.489510   4.591692  12.564485   8.578089
50  Original     10         5    4.428904   4.591692  12.564485   8.578089
3   Original     15         1    3.496503   1.543225   5.263301   3.403263
15  Original     15         2    1.398601   1.543225   5.263301   3.403263
27  Original     15         3    3.496503   1.543225   5.263301   3.403263
39  Original     15         4    5.594406   1.543225   5.263301   3.403263
51  Original     15         5    3.030303   1.543225   5.263301   3.403263
4   Original     20         1    0.699301   0.376092   2.141391   1.258741
16  Original     20         2    1.631702   0.376092   2.141391   1.258741
28  Original     20         3    0.932401   0.376092   2.141391   1.258741
40  Original     20         4    0.699301   0.376092   2.141391   1.258741
52  Original     20         5    2.331002   0.376092   2.141391   1.258741
5   Original     25         1    0.233100  -0.167028   1.285910   0.559441
17  Original     25         2    1.398601  -0.167028   1.285910   0.559441
29  Original     25         3    0.233100  -0.167028   1.285910   0.559441
41  Original     25         4    0.000000  -0.167028   1.285910   0.559441
53  Original     25         5    0.932401  -0.167028   1.285910   0.559441
6   Proposed      0         1   99.067599  98.152334  99.982864  99.067599
18  Proposed      0         2  100.000000  98.152334  99.982864  99.067599
30  Proposed      0         3   99.533800  98.152334  99.982864  99.067599
42  Proposed      0         4   98.601399  98.152334  99.982864  99.067599
54  Proposed      0         5   98.135198  98.152334  99.982864  99.067599
7   Proposed      5         1   49.417249  53.829544  85.377915  69.603730
19  Proposed      5         2   73.659674  53.829544  85.377915  69.603730
31  Proposed      5         3   79.487179  53.829544  85.377915  69.603730
43  Proposed      5         4   79.953380  53.829544  85.377915  69.603730
55  Proposed      5         5   65.501166  53.829544  85.377915  69.603730
8   Proposed     10         1   27.039627  18.025003  31.671967  24.848485
20  Proposed     10         2   19.114219  18.025003  31.671967  24.848485
32  Proposed     10         3   32.867133  18.025003  31.671967  24.848485
44  Proposed     10         4   24.708625  18.025003  31.671967  24.848485
